19:1	Experian ProveID
19:2	Experian ProveID: Name and Address Match
19:4	Experian ProveID: Deceased
19:6	Experian ProveID: Unsupported Country
19:8	Experian ProveID: Last Name and Address Match
19:9	Experian ProveID: Date of Birth Match
au:0	Augur: Using Tor Browser
au:3	Augur: Is Bot
au:7	Augur: Is Proxied
au:9	Augur: Timezone Mismatch
dv:0	Document Verification
dv:1	Document Verification: Document Processed
dv:10	Document Verification: Address Match
dv:11	Document Verification: Document Expired
dv:12	Document Verification: Service Provider
dv:13	Document Verification: Name
dv:14	Document Verification: Address
dv:15	Document Verification: Date of Birth
dv:16	Document Verification: Document Number
dv:17	Document Verification: Expiration Date
dv:18	Document Verification: ID Country
dv:19	Document Verification: Document Type
dv:2	Document Verification: Document Type Match
dv:20	Document Verification: Document Country Match
dv:21	Document Verification: Document Is Decisive
dv:22	Document Verification: Document Number #2
dv:3	Document Verification: Document Authentic
dv:4	Document Verification: Face Image Processed
dv:5	Document Verification: Face Match
dv:6	Document Verification: Live Check Processed
dv:7	Document Verification: Liveness Verified
dv:8	Document Verification: Name Match
dv:9	Document Verification: Date of Birth Match
ed:1	Blacklist
ed:11	Device Reputation
ed:15	User Account Count for Device
ed:19	User Account Reputation
ed:2	Watchlist
ed:23	Device Count for User Account
ed:25	Global Billing Address Count for User Account
ed:27	Billing Address Reputation
ed:3	Augur: Is Bot
ed:32	Element of Transaction on Provider Blacklist
ed:36	Shipping Country Blacklist
ed:37	Billing Country Blacklist
ed:38	IP Country Blacklist
ed:39	Shipping Country Watchlist
ed:49	Disposable Email Address
ed:50	Card Type
ed:503	1 Hour Account Creation Velocity
ed:504	1 Hour IP Account creation Velocity
ed:508	24 Hour Account Creation Velocity
ed:509	24 Hour IP Account Creation Velocity
ed:51	Bad First Degree Relation
ed:513	28 Day Account Creation Velocity
ed:514	28 Day IP Account Creation Velocity
ed:56	Card Issuer Country on Blacklist
ed:59	User Account Count for User
ed:6	User Account Count for Payment Instrument
ed:61	IP Country Watchlist
ed:7	Device Count for Payment Instrument
ed:87	Billing Country Watchlist
id:0	IDology ExpectID
id:1	IDology ExpectID: Public Records Match
id:10	IDology ExpectID: Unsupported Country
id:4	IDology ExpectID: Date of Birth Match
id:6	IDology ExpectID: Address Match
id:9	IDology ExpectID: Deceased
mm:0	MaxMind MinFraud
mm:1	MaxMind MinFraud: IP Bad Proxy
mm:11	Maxmind MinFraud: IP to Billing Address Distance
mm:2	MaxMind MinFraud: IP Proxy
mm:3	MaxMind MinFraud: IP Risk Score
mm:7	MaxMind MinFraud: IP Region / State Match
mm:8	MaxMind MinFraud: IP Region / Country Banned
ra:0	TowerData
ra:1	TowerData: Email History
ss:0	Sanctions Screening
ss:1	Sanctions Screening: Sanction Match
