TRN_CODE	TRN_DESC
PAY	Utility Payment
MST	ATM Mini Statement
ACD	ATM Cash Deposit
CBC	Credit Bureaus Charge
BIL	BILL PAYMENT
BLC	POS Balance Enquire Cardbase
RMS	POS Remittance Send
RMR	POS Remittance Receive
BPT	POS Bill Payment
CDC	POS Cash Deposit Cardbase
CDL	POS Cash Deposit Cardless
CAV	POS Cash Advance
BLL	POS Balance Enquiry Cardless
PTH	POS Pre_Auth
PTC	POS Pre_Auth Completion
MNS	POS Mini Statement Cardbase
AFT	ATM FUND TRANSFER
TOP	TOP UP
LRL	POS Loan Repayment Cardless
LRC	POS Loan Repayment Cardbase
MTL	POS Mobile Top Up Cardless
MTC	POS Mobile Top Up Cardbase
PFT	POS Fund Transfer_Account Cardbase
MSL	POS Mini Statement Cardless
SAL	POS Purchase
REF	POS Refund
SAS	CREDIT INTEREST FOR SASSA
ADF	Admin Fee
SVL	SVL Premium
HLP	HEALTH EXPENSE
MCE	MEDICAL REIMBURSEMENT
MSR	MONTHLY SALARY
PFP	PROVIDENT FUND EXPENSE
SRP	SENIORITY PAY
ITV	STAFF INCENTIVE
ELS	ELITE STAFF
CPN	CSS ATM PIN CHANGE CHARGE
IFS	Interest From SASSA
CFI	CSS Fee Transaction (For Issuer)
AFW	Admin Fee Write Off
PNL	Penalty from loan Arrears
VAT	VAT
ELC	Exceed Limit Charge
APC	Account Pre-Closure
ABP	ANNUAL BONUS
GAS	GASOLINE ALLOWANCE
NSP	NIGHT SHIFT WORKING
OTA	OTHER ALLOWANCE
OTP	OVERTIME
PCB	PCHUM BEN BONUS
PFA	PROVIDENT FUND ACR
RTB	RETENTION BONUS
CBE	CSS ATM BALANCE CHARGE
CWC	CSS CASH WITHDRAWAL CHARGE
FTC	CSS FUND TRANSFER CHARGE
FSC	FAST TRANSFER
ADS	Admin Fee
SFC	SET-FO Charge
THB	13TH MONTH BONUS
TOG	TAX ON GASOLINE
TOS	TAX ON SALARY
